# 128 bits. times in ms
n	fft	classical
25	1	0.469
50	0.337	2
75	1	5
100	1	7
125	0.718	10
150	1	16
175	1	20
200	1	26
225	1	35
250	1	41
275	2	51
300	2	57
325	2	73
350	2	78
375	2	93
400	2	107
425	2	118
450	3	131
475	3	148
500	3	163
525	4	177
550	3	196
575	4	212
600	4	230
625	4	253
650	4	284
675	5	295
700	4	327
725	4	354
750	4	364
775	5	398
800	5	423
825	5	445
850	5	466
875	5	501
900	6	525
925	6	564
950	5	601
975	5	625
1000	6	651
1025	8	675
1050	7	715
1075	7	769
1100	8	782
1125	7	820
1150	8	851
1175	7	891
1200	8	919
1225	8	960
1250	8	996
1275	8	1063
1300	8	1078
1325	8	1124
1350	8	1311
1375	13	1383
1400	9	1346
1425	8	1358
1450	9	1427
1475	9	1460
1500	9	1563
1525	10	1562
1550	9	1571
1575	10	1657
1600	9	1694
1625	9	1865
1650	10	1853
1675	11	1852
1700	10	1861
1725	10	1909
1750	10	1962
1775	10	2013
1800	10	2073
1825	11	2127
1850	13	2189
1875	10	2251
1900	11	2304
1925	11	2376
1950	11	2429
1975	11	2493
2000	11	2557
2025	12	2727
2050	19	2758
2075	14	2765
2100	14	2840
2125	14	2889
2150	14	2952
2175	14	3014
2200	15	3082
2225	15	3157
2250	16	3303
2275	15	3314
2300	15	3429
2325	15	3650
2350	16	3763
2375	17	3756
2400	18	3933
2425	16	4038
2450	16	4141
2475	16	4015
2500	17	4127
